,cv_step,n_neighbors,weights,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0,0,3,uniform,0.1,simple,1.0,3,1.0,1.0,1.0,1.0,6.222,5.181,6.0
1,0,3,uniform,0.1,simple,1.0,5,1.0,1.0,1.0,1.0,8.778,6.822,8.0
2,0,3,uniform,0.1,simple,1.0,7,1.0,1.0,1.0,1.0,9.481,7.295,8.0
3,0,3,uniform,0.1,simple,1.05,3,1.0,1.0,1.0,1.0,6.407,5.079,6.0
4,0,3,uniform,0.1,simple,1.05,5,1.0,1.0,1.0,1.0,8.778,6.822,8.0
5,0,3,uniform,0.1,simple,1.05,7,1.0,1.0,1.0,1.0,10.37,7.499,10.0
6,0,3,uniform,0.1,simple,1.1,3,1.0,1.0,1.0,1.0,6.704,5.213,7.0
7,0,3,uniform,0.1,simple,1.1,5,1.0,1.0,1.0,1.0,9.148,6.824,9.0
8,0,3,uniform,0.1,simple,1.1,7,1.0,1.0,1.0,1.0,10.37,7.499,10.0
9,0,3,uniform,0.1,simple,1.15,3,1.0,1.0,1.0,1.0,6.704,5.213,7.0
10,0,3,uniform,0.1,simple,1.15,5,1.0,1.0,1.0,1.0,9.148,6.824,9.0
11,0,3,uniform,0.1,simple,1.15,7,1.0,1.0,1.0,1.0,10.37,7.499,10.0
12,0,3,uniform,0.1,simple,1.2,3,1.0,1.0,1.0,1.0,6.963,5.16,7.0
13,0,3,uniform,0.1,simple,1.2,5,0.983,0.963,1.0,1.0,9.577,7.083,10.0
14,0,3,uniform,0.1,simple,1.2,7,0.983,0.963,1.0,1.0,10.885,7.643,11.0
15,0,3,uniform,0.1,daytime,1.0,3,0.567,1.0,0.212,0.509,5.222,4.932,3.0
16,0,3,uniform,0.1,daytime,1.0,5,0.867,1.0,0.758,0.771,6.815,6.056,6.0
17,0,3,uniform,0.1,daytime,1.0,7,0.967,1.0,0.939,0.931,7.704,7.551,6.0
18,0,3,uniform,0.1,daytime,1.05,3,0.75,1.0,0.545,0.643,5.444,4.871,5.0
19,0,3,uniform,0.1,daytime,1.05,5,0.917,1.0,0.848,0.844,7.815,7.024,7.0
20,0,3,uniform,0.1,daytime,1.05,7,0.983,1.0,0.97,0.964,8.37,7.253,7.0
21,0,3,uniform,0.1,daytime,1.1,3,0.817,1.0,0.667,0.711,5.63,4.816,5.0
22,0,3,uniform,0.1,daytime,1.1,5,0.95,1.0,0.909,0.9,8.37,7.114,7.0
23,0,3,uniform,0.1,daytime,1.1,7,1.0,1.0,1.0,1.0,8.852,7.377,7.0
24,0,3,uniform,0.1,daytime,1.15,3,0.933,1.0,0.879,0.871,5.63,4.816,5.0
25,0,3,uniform,0.1,daytime,1.15,5,0.967,1.0,0.939,0.931,8.37,7.114,7.0
26,0,3,uniform,0.1,daytime,1.15,7,1.0,1.0,1.0,1.0,9.296,7.383,7.0
27,0,3,uniform,0.1,daytime,1.2,3,0.967,1.0,0.939,0.931,5.667,4.823,5.0
28,0,3,uniform,0.1,daytime,1.2,5,1.0,1.0,1.0,1.0,8.444,7.099,8.0
29,0,3,uniform,0.1,daytime,1.2,7,1.0,1.0,1.0,1.0,9.852,7.546,9.0
30,0,3,uniform,0.2,simple,1.0,3,0.867,0.704,1.0,1.0,17.0,10.588,18.0
31,0,3,uniform,0.2,simple,1.0,5,0.817,0.593,1.0,1.0,17.688,10.815,21.0
32,0,3,uniform,0.2,simple,1.0,7,0.783,0.519,1.0,1.0,19.857,10.183,23.5
33,0,3,uniform,0.2,simple,1.05,3,0.867,0.704,1.0,1.0,17.053,10.595,18.0
34,0,3,uniform,0.2,simple,1.05,5,0.817,0.593,1.0,1.0,17.75,10.82,21.0
35,0,3,uniform,0.2,simple,1.05,7,0.783,0.519,1.0,1.0,19.929,10.173,23.5
36,0,3,uniform,0.2,simple,1.1,3,0.85,0.667,1.0,1.0,17.889,10.577,19.0
