n_neighbors,weights,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
3,distance,daytime,1.0,0.1,3,2,0.5,1.0,0.0,0.5,0.064,0.334,0.0
3,distance,daytime,1.0,0.1,5,2,0.5,1.0,0.0,0.5,0.118,0.622,0.0
3,distance,daytime,1.0,0.1,7,2,0.5,1.0,0.0,0.5,0.044,0.227,0.0
3,distance,daytime,1.0,0.2,3,2,0.5,1.0,0.0,0.5,1.429,3.606,0.0
3,distance,daytime,1.0,0.2,5,2,0.5,1.0,0.0,0.5,1.469,3.737,0.0
3,distance,daytime,1.0,0.2,7,2,0.5,1.0,0.0,0.5,1.357,3.668,0.0
3,distance,daytime,1.0,0.3,3,2,0.5,1.0,0.0,0.5,3.273,6.068,0.0
3,distance,daytime,1.0,0.3,5,2,0.5,1.0,0.0,0.5,3.556,6.634,0.0
3,distance,daytime,1.0,0.3,7,2,0.5,1.0,0.0,0.5,3.301,6.492,0.0
3,distance,daytime,1.0,0.4,3,2,0.5,1.0,0.0,0.5,5.368,8.048,0.3
3,distance,daytime,1.0,0.4,5,2,0.5,1.0,0.0,0.5,5.775,8.503,0.8
3,distance,daytime,1.0,0.4,7,2,0.5,1.0,0.0,0.5,6.349,8.937,1.2
3,distance,daytime,1.0,0.5,3,2,0.5,1.0,0.0,0.5,8.329,9.68,3.6
3,distance,daytime,1.0,0.5,5,2,0.5,1.0,0.0,0.5,9.228,10.157,5.8
3,distance,daytime,1.0,0.5,7,2,0.5,1.0,0.0,0.5,9.654,10.362,5.1
3,distance,daytime,1.0,0.6,3,2,0.5,1.0,0.0,0.5,12.048,10.217,11.1
3,distance,daytime,1.0,0.6,5,2,0.497,0.986,0.006,0.498,13.739,10.914,13.4
3,distance,daytime,1.0,0.6,7,2,0.5,0.933,0.065,0.499,15.418,11.301,15.7
3,distance,daytime,1.0,0.7,3,2,0.537,0.877,0.191,0.52,17.073,10.904,17.9
3,distance,daytime,1.0,0.7,5,2,0.63,0.667,0.587,0.622,17.889,10.831,18.9
3,distance,daytime,1.0,0.7,7,2,0.717,0.545,0.885,0.837,20.117,10.175,20.8
3,distance,daytime,1.0,0.8,3,2,0.66,0.451,0.863,0.79,24.907,6.893,24.6
3,distance,daytime,1.0,0.8,5,2,0.657,0.311,1.0,1.0,25.302,6.682,24.7
3,distance,daytime,1.0,0.8,7,2,0.617,0.227,1.0,1.0,25.319,6.301,24.6
3,distance,daytime,1.0,0.9,3,2,0.587,0.174,1.0,1.0,24.697,6.163,26.0
3,distance,daytime,1.0,0.9,5,2,0.557,0.114,1.0,1.0,26.15,5.664,27.5
3,distance,daytime,1.0,0.9,7,2,0.52,0.039,1.0,0.8,200000024.067,0.471,200000024.4
3,distance,daytime,1.0,1.0,3,2,0.587,0.174,1.0,1.0,24.697,6.163,26.0
3,distance,daytime,1.0,1.0,5,2,0.557,0.114,1.0,1.0,26.15,5.664,27.5
3,distance,daytime,1.0,1.0,7,2,0.52,0.039,1.0,0.8,200000024.067,0.471,200000024.4
3,distance,daytime,1.05,0.1,3,2,0.5,1.0,0.0,0.5,0.064,0.334,0.0
3,distance,daytime,1.05,0.1,5,2,0.5,1.0,0.0,0.5,0.118,0.622,0.0
3,distance,daytime,1.05,0.1,7,2,0.5,1.0,0.0,0.5,0.044,0.227,0.0
3,distance,daytime,1.05,0.2,3,2,0.5,1.0,0.0,0.5,1.429,3.606,0.0
3,distance,daytime,1.05,0.2,5,2,0.5,1.0,0.0,0.5,1.469,3.737,0.0
3,distance,daytime,1.05,0.2,7,2,0.5,1.0,0.0,0.5,1.357,3.668,0.0
3,distance,daytime,1.05,0.3,3,2,0.5,1.0,0.0,0.5,3.273,6.068,0.0
3,distance,daytime,1.05,0.3,5,2,0.5,1.0,0.0,0.5,3.556,6.634,0.0
3,distance,daytime,1.05,0.3,7,2,0.5,1.0,0.0,0.5,3.301,6.492,0.0
3,distance,daytime,1.05,0.4,3,2,0.5,1.0,0.0,0.5,5.368,8.048,0.3
3,distance,daytime,1.05,0.4,5,2,0.5,1.0,0.0,0.5,5.775,8.503,0.8
3,distance,daytime,1.05,0.4,7,2,0.5,1.0,0.0,0.5,6.349,8.937,1.2
3,distance,daytime,1.05,0.5,3,2,0.5,1.0,0.0,0.5,8.329,9.68,3.6
3,distance,daytime,1.05,0.5,5,2,0.5,1.0,0.0,0.5,9.228,10.157,5.8
3,distance,daytime,1.05,0.5,7,2,0.5,1.0,0.0,0.5,9.654,10.362,5.1
3,distance,daytime,1.05,0.6,3,2,0.5,1.0,0.0,0.5,12.048,10.217,11.1
3,distance,daytime,1.05,0.6,5,2,0.497,0.986,0.006,0.498,13.739,10.914,13.4
3,distance,daytime,1.05,0.6,7,2,0.5,0.933,0.065,0.499,15.418,11.301,15.7
3,distance,daytime,1.05,0.7,3,2,0.537,0.877,0.191,0.52,17.073,10.904,17.9
3,distance,daytime,1.05,0.7,5,2,0.63,0.667,0.587,0.622,17.889,10.831,18.9
3,distance,daytime,1.05,0.7,7,2,0.717,0.545,0.885,0.837,20.117,10.175,20.8
3,distance,daytime,1.05,0.8,3,2,0.66,0.451,0.863,0.79,24.907,6.893,24.6
3,distance,daytime,1.05,0.8,5,2,0.657,0.311,1.0,1.0,25.302,6.682,24.7
3,distance,daytime,1.05,0.8,7,2,0.617,0.227,1.0,1.0,25.319,6.301,24.6
3,distance,daytime,1.05,0.9,3,2,0.587,0.174,1.0,1.0,24.697,6.163,26.0
3,distance,daytime,1.05,0.9,5,2,0.557,0.114,1.0,1.0,26.15,5.664,27.5
3,distance,daytime,1.05,0.9,7,2,0.52,0.039,1.0,0.8,200000024.067,0.471,200000024.4
3,distance,daytime,1.05,1.0,3,2,0.587,0.174,1.0,1.0,24.697,6.163,26.0
3,distance,daytime,1.05,1.0,5,2,0.557,0.114,1.0,1.0,26.15,5.664,27.5
