alpha,max_iter,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,2000,daytime,1.0,0.1,3,2,0.897,0.797,0.994,0.989,5.4,7.886,1.6
0.333,2000,daytime,1.0,0.1,5,2,0.847,0.69,1.0,1.0,6.696,8.69,3.2
0.333,2000,daytime,1.0,0.1,7,2,0.803,0.603,1.0,1.0,8.627,10.289,4.9
0.333,2000,daytime,1.0,0.2,3,2,0.71,0.421,1.0,1.0,12.987,13.146,9.6
0.333,2000,daytime,1.0,0.2,5,2,0.68,0.362,1.0,1.0,11.655,12.968,8.1
0.333,2000,daytime,1.0,0.2,7,2,0.67,0.342,1.0,1.0,11.734,13.428,6.6
0.333,2000,daytime,1.0,0.3,3,2,0.657,0.315,1.0,1.0,10.715,13.53,8.4
0.333,2000,daytime,1.0,0.3,5,2,0.647,0.295,1.0,1.0,9.846,13.414,2.4
0.333,2000,daytime,1.0,0.3,7,2,0.643,0.287,1.0,1.0,9.436,13.36,2.4
0.333,2000,daytime,1.0,0.4,3,2,0.627,0.255,1.0,1.0,7.292,11.805,0.0
0.333,2000,daytime,1.0,0.4,5,2,0.62,0.242,1.0,1.0,5.744,10.958,0.0
0.333,2000,daytime,1.0,0.4,7,2,0.613,0.229,1.0,1.0,4.61,10.379,0.0
0.333,2000,daytime,1.0,0.5,3,2,0.61,0.223,1.0,1.0,3.385,8.123,0.0
0.333,2000,daytime,1.0,0.5,5,2,0.603,0.209,1.0,1.0,1.86,4.172,0.0
0.333,2000,daytime,1.0,0.5,7,2,0.6,0.203,1.0,1.0,1.16,2.32,0.0
0.333,2000,daytime,1.0,0.6,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.0,0.6,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.0,0.6,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.0,0.7,3,2,0.597,0.196,1.0,1.0,0.033,0.075,0.0
0.333,2000,daytime,1.0,0.7,5,2,0.597,0.196,1.0,1.0,0.145,0.251,0.0
0.333,2000,daytime,1.0,0.7,7,2,0.597,0.196,1.0,1.0,0.324,0.461,0.1
0.333,2000,daytime,1.0,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
