,cv_step,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0,0,0.1,simple,1.0,3,0.883,0.788,1.0,1.0,3.077,4.038,1.5
1,0,0.1,simple,1.0,5,0.85,0.727,1.0,1.0,5.875,10.289,2.0
2,0,0.1,simple,1.0,7,0.8,0.636,1.0,1.0,5.571,11.189,1.0
3,0,0.1,simple,1.05,3,0.867,0.758,1.0,1.0,6.16,10.646,1.0
4,0,0.1,simple,1.05,5,0.833,0.697,1.0,1.0,7.13,11.172,2.0
5,0,0.1,simple,1.05,7,0.767,0.576,1.0,1.0,4.895,8.162,0.0
6,0,0.1,simple,1.1,3,0.867,0.758,1.0,1.0,7.68,12.092,1.0
7,0,0.1,simple,1.1,5,0.8,0.636,1.0,1.0,6.952,11.528,1.0
8,0,0.1,simple,1.1,7,0.767,0.576,1.0,1.0,5.526,9.156,0.0
9,0,0.1,simple,1.15,3,0.833,0.697,1.0,1.0,6.957,12.217,0.0
10,0,0.1,simple,1.15,5,0.8,0.636,1.0,1.0,7.048,11.586,1.0
11,0,0.1,simple,1.15,7,0.75,0.545,1.0,1.0,4.167,6.882,0.0
12,0,0.1,simple,1.2,3,0.817,0.667,1.0,1.0,6.5,11.669,0.0
13,0,0.1,simple,1.2,5,0.767,0.576,1.0,1.0,4.737,7.718,0.0
14,0,0.1,simple,1.2,7,0.717,0.485,1.0,1.0,5.062,8.989,0.0
15,0,0.1,daytime,1.0,3,0.917,0.848,1.0,1.0,2.571,4.039,0.5
16,0,0.1,daytime,1.0,5,0.917,0.848,1.0,1.0,3.036,4.289,1.5
17,0,0.1,daytime,1.0,7,0.9,0.818,1.0,1.0,3.704,6.276,1.0
18,0,0.1,daytime,1.05,3,0.917,0.848,1.0,1.0,2.786,4.091,1.5
19,0,0.1,daytime,1.05,5,0.917,0.848,1.0,1.0,3.536,4.468,2.0
20,0,0.1,daytime,1.05,7,0.883,0.788,1.0,1.0,4.154,6.437,1.5
21,0,0.1,daytime,1.1,3,0.917,0.848,1.0,1.0,4.25,6.429,1.5
22,0,0.1,daytime,1.1,5,0.883,0.788,1.0,1.0,3.538,4.199,2.0
23,0,0.1,daytime,1.1,7,0.883,0.788,1.0,1.0,4.692,7.092,2.0
24,0,0.1,daytime,1.15,3,0.9,0.818,1.0,1.0,4.667,7.399,1.0
25,0,0.1,daytime,1.15,5,0.883,0.788,1.0,1.0,5.077,7.746,2.0
26,0,0.1,daytime,1.15,7,0.883,0.788,1.0,1.0,5.192,7.736,2.0
27,0,0.1,daytime,1.2,3,0.9,0.818,1.0,1.0,5.444,8.677,1.0
28,0,0.1,daytime,1.2,5,0.867,0.758,1.0,1.0,5.44,8.01,2.0
29,0,0.1,daytime,1.2,7,0.867,0.758,1.0,1.0,5.72,8.127,2.0
30,0,0.2,simple,1.0,3,0.617,0.303,1.0,1.0,2.8,5.758,0.0
31,0,0.2,simple,1.0,5,0.583,0.242,1.0,1.0,0.0,0.0,0.0
32,0,0.2,simple,1.0,7,0.583,0.242,1.0,1.0,0.0,0.0,0.0
33,0,0.2,simple,1.05,3,0.6,0.273,1.0,1.0,1.889,5.343,0.0
34,0,0.2,simple,1.05,5,0.583,0.242,1.0,1.0,0.0,0.0,0.0
35,0,0.2,simple,1.05,7,0.583,0.242,1.0,1.0,0.0,0.0,0.0
36,0,0.2,simple,1.1,3,0.583,0.242,1.0,1.0,0.0,0.0,0.0
37,0,0.2,simple,1.1,5,0.583,0.242,1.0,1.0,0.0,0.0,0.0
38,0,0.2,simple,1.1,7,0.583,0.242,1.0,1.0,0.0,0.0,0.0
39,0,0.2,simple,1.15,3,0.583,0.242,1.0,1.0,0.0,0.0,0.0
40,0,0.2,simple,1.15,5,0.583,0.242,1.0,1.0,0.0,0.0,0.0
41,0,0.2,simple,1.15,7,0.583,0.242,1.0,1.0,0.0,0.0,0.0
42,0,0.2,simple,1.2,3,0.583,0.242,1.0,1.0,0.0,0.0,0.0
43,0,0.2,simple,1.2,5,0.583,0.242,1.0,1.0,0.0,0.0,0.0
44,0,0.2,simple,1.2,7,0.583,0.242,1.0,1.0,0.0,0.0,0.0
45,0,0.2,daytime,1.0,3,0.65,0.364,1.0,1.0,4.333,8.692,0.0
46,0,0.2,daytime,1.0,5,0.6,0.273,1.0,1.0,2.889,8.171,0.0
47,0,0.2,daytime,1.0,7,0.583,0.242,1.0,1.0,0.0,0.0,0.0
48,0,0.2,daytime,1.05,3,0.617,0.303,1.0,1.0,2.8,5.758,0.0
49,0,0.2,daytime,1.05,5,0.583,0.242,1.0,1.0,0.0,0.0,0.0
50,0,0.2,daytime,1.05,7,0.583,0.242,1.0,1.0,0.0,0.0,0.0
51,0,0.2,daytime,1.1,3,0.617,0.303,1.0,1.0,2.8,5.758,0.0
52,0,0.2,daytime,1.1,5,0.583,0.242,1.0,1.0,0.0,0.0,0.0
53,0,0.2,daytime,1.1,7,0.583,0.242,1.0,1.0,0.0,0.0,0.0
54,0,0.2,daytime,1.15,3,0.583,0.242,1.0,1.0,0.0,0.0,0.0
55,0,0.2,daytime,1.15,5,0.583,0.242,1.0,1.0,0.0,0.0,0.0
56,0,0.2,daytime,1.15,7,0.583,0.242,1.0,1.0,0.0,0.0,0.0
57,0,0.2,daytime,1.2,3,0.583,0.242,1.0,1.0,0.0,0.0,0.0
58,0,0.2,daytime,1.2,5,0.583,0.242,1.0,1.0,0.0,0.0,0.0
59,0,0.2,daytime,1.2,7,0.583,0.242,1.0,1.0,0.0,0.0,0.0
60,0,0.3,simple,1.0,3,0.583,0.242,1.0,1.0,0.0,0.0,0.0
61,0,0.3,simple,1.0,5,0.583,0.242,1.0,1.0,0.125,0.331,0.0
62,0,0.3,simple,1.0,7,0.583,0.242,1.0,1.0,0.25,0.433,0.0
63,0,0.3,simple,1.05,3,0.583,0.242,1.0,1.0,0.125,0.331,0.0
64,0,0.3,simple,1.05,5,0.583,0.242,1.0,1.0,0.5,0.866,0.0
65,0,0.3,simple,1.05,7,0.583,0.242,1.0,1.0,0.5,0.866,0.0
66,0,0.3,simple,1.1,3,0.583,0.242,1.0,1.0,0.75,1.639,0.0
67,0,0.3,simple,1.1,5,0.583,0.242,1.0,1.0,0.875,1.691,0.0
68,0,0.3,simple,1.1,7,0.583,0.242,1.0,1.0,0.75,1.392,0.0
69,0,0.3,simple,1.15,3,0.583,0.242,1.0,1.0,0.75,1.639,0.0
70,0,0.3,simple,1.15,5,0.583,0.242,1.0,1.0,2.125,3.723,0.0
71,0,0.3,simple,1.15,7,0.583,0.242,1.0,1.0,2.375,3.967,0.0
72,0,0.3,simple,1.2,3,0.583,0.242,1.0,1.0,3.625,9.219,0.0
