th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
daytime,1.0,0.1,3,2,0.914,0.847,0.98,0.978,2.39,4.41,0.1
daytime,1.0,0.1,5,2,0.91,0.819,1.0,1.0,2.383,4.56,0.3
daytime,1.0,0.1,7,2,0.9,0.799,1.0,1.0,2.877,5.58,0.3
daytime,1.0,0.2,3,2,0.707,0.414,1.0,1.0,5.242,8.581,1.0
daytime,1.0,0.2,5,2,0.677,0.355,1.0,1.0,3.477,6.657,0.5
daytime,1.0,0.2,7,2,0.647,0.294,1.0,1.0,2.445,4.463,0.0
daytime,1.0,0.3,3,2,0.623,0.245,1.0,1.0,0.567,1.583,0.0
daytime,1.0,0.3,5,2,0.62,0.238,1.0,1.0,0.478,1.332,0.0
daytime,1.0,0.3,7,2,0.617,0.232,1.0,1.0,0.067,0.094,0.0
daytime,1.0,0.4,3,2,0.617,0.232,1.0,1.0,0.208,0.42,0.0
daytime,1.0,0.4,5,2,0.617,0.232,1.0,1.0,0.6,1.15,0.0
daytime,1.0,0.4,7,2,0.617,0.232,1.0,1.0,0.825,1.281,0.3
daytime,1.0,0.5,3,2,0.61,0.22,1.0,1.0,7.055,7.846,4.3
daytime,1.0,0.5,5,2,0.597,0.194,1.0,1.0,5.216,6.428,2.7
daytime,1.0,0.5,7,2,0.587,0.175,1.0,1.0,5.731,8.174,1.5
daytime,1.0,0.6,3,2,0.523,0.046,1.0,1.0,11.4,3.0,11.4
daytime,1.0,0.6,5,2,0.51,0.021,1.0,0.6,400000010.6,0.0,400000010.6
daytime,1.0,0.6,7,2,0.507,0.014,1.0,0.4,600000010.0,0.0,600000010.0
daytime,1.0,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,0.1,3,2,0.907,0.826,0.986,0.985,2.395,4.595,0.3
daytime,1.05,0.1,5,2,0.894,0.785,1.0,1.0,2.686,4.548,0.4
daytime,1.05,0.1,7,2,0.887,0.773,1.0,1.0,3.27,5.427,0.5
daytime,1.05,0.2,3,2,0.68,0.361,1.0,1.0,3.684,6.23,0.0
daytime,1.05,0.2,5,2,0.653,0.308,1.0,1.0,2.125,3.812,0.0
daytime,1.05,0.2,7,2,0.643,0.287,1.0,1.0,2.222,4.369,0.0
daytime,1.05,0.3,3,2,0.617,0.232,1.0,1.0,0.033,0.075,0.0
daytime,1.05,0.3,5,2,0.617,0.232,1.0,1.0,0.125,0.219,0.0
daytime,1.05,0.3,7,2,0.617,0.232,1.0,1.0,0.125,0.219,0.0
