,cv_step,alpha,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0,0,0.333,0.1,simple,1.0,3,0.767,0.562,1.0,1.0,4.0,4.655,0.5
1,0,0.333,0.1,simple,1.0,5,0.767,0.562,1.0,1.0,6.333,8.3,1.5
2,0,0.333,0.1,simple,1.0,7,0.733,0.5,1.0,1.0,7.438,10.653,1.0
3,0,0.333,0.1,simple,1.05,3,0.767,0.562,1.0,1.0,4.611,4.821,3.0
4,0,0.333,0.1,simple,1.05,5,0.75,0.531,1.0,1.0,6.529,8.486,2.0
5,0,0.333,0.1,simple,1.05,7,0.717,0.469,1.0,1.0,9.4,12.164,3.0
6,0,0.333,0.1,simple,1.1,3,0.717,0.469,1.0,1.0,8.267,11.024,3.0
7,0,0.333,0.1,simple,1.1,5,0.717,0.469,1.0,1.0,9.6,12.115,3.0
8,0,0.333,0.1,simple,1.1,7,0.683,0.406,1.0,1.0,8.538,11.587,1.0
9,0,0.333,0.1,simple,1.15,3,0.717,0.469,1.0,1.0,8.333,10.977,3.0
10,0,0.333,0.1,simple,1.15,5,0.7,0.438,1.0,1.0,10.357,12.636,2.5
11,0,0.333,0.1,simple,1.15,7,0.667,0.375,1.0,1.0,9.167,12.068,2.5
12,0,0.333,0.1,simple,1.2,3,0.717,0.469,1.0,1.0,8.467,11.039,3.0
13,0,0.333,0.1,simple,1.2,5,0.7,0.438,1.0,1.0,11.071,12.55,5.5
14,0,0.333,0.1,simple,1.2,7,0.65,0.344,1.0,1.0,10.091,12.624,3.0
15,0,0.333,0.1,daytime,1.0,3,0.883,0.781,1.0,1.0,2.44,3.534,0.0
16,0,0.333,0.1,daytime,1.0,5,0.867,0.75,1.0,1.0,2.833,4.007,0.5
17,0,0.333,0.1,daytime,1.0,7,0.817,0.656,1.0,1.0,2.952,4.157,0.0
18,0,0.333,0.1,daytime,1.05,3,0.883,0.781,1.0,1.0,2.68,3.641,0.0
19,0,0.333,0.1,daytime,1.05,5,0.833,0.688,1.0,1.0,3.0,4.167,0.0
20,0,0.333,0.1,daytime,1.05,7,0.8,0.625,1.0,1.0,3.0,4.266,0.0
21,0,0.333,0.1,daytime,1.1,3,0.867,0.75,1.0,1.0,2.75,3.744,0.0
22,0,0.333,0.1,daytime,1.1,5,0.817,0.656,1.0,1.0,2.81,4.238,0.0
23,0,0.333,0.1,daytime,1.1,7,0.8,0.625,1.0,1.0,4.15,6.695,0.5
24,0,0.333,0.1,daytime,1.15,3,0.817,0.656,1.0,1.0,3.667,6.785,0.0
25,0,0.333,0.1,daytime,1.15,5,0.8,0.625,1.0,1.0,3.9,7.861,0.0
26,0,0.333,0.1,daytime,1.15,7,0.8,0.625,1.0,1.0,6.05,9.851,1.0
27,0,0.333,0.1,daytime,1.2,3,0.8,0.625,1.0,1.0,3.45,6.881,0.0
28,0,0.333,0.1,daytime,1.2,5,0.8,0.625,1.0,1.0,4.4,7.864,0.0
29,0,0.333,0.1,daytime,1.2,7,0.8,0.625,1.0,1.0,6.55,10.122,1.5
30,0,0.333,0.2,simple,1.0,3,0.533,0.125,1.0,1.0,0.0,0.0,0.0
31,0,0.333,0.2,simple,1.0,5,0.533,0.125,1.0,1.0,0.0,0.0,0.0
32,0,0.333,0.2,simple,1.0,7,0.533,0.125,1.0,1.0,0.0,0.0,0.0
33,0,0.333,0.2,simple,1.05,3,0.533,0.125,1.0,1.0,0.0,0.0,0.0
34,0,0.333,0.2,simple,1.05,5,0.533,0.125,1.0,1.0,0.0,0.0,0.0
35,0,0.333,0.2,simple,1.05,7,0.533,0.125,1.0,1.0,0.0,0.0,0.0
36,0,0.333,0.2,simple,1.1,3,0.533,0.125,1.0,1.0,0.0,0.0,0.0
37,0,0.333,0.2,simple,1.1,5,0.533,0.125,1.0,1.0,0.0,0.0,0.0
38,0,0.333,0.2,simple,1.1,7,0.533,0.125,1.0,1.0,0.0,0.0,0.0
39,0,0.333,0.2,simple,1.15,3,0.533,0.125,1.0,1.0,0.0,0.0,0.0
40,0,0.333,0.2,simple,1.15,5,0.533,0.125,1.0,1.0,0.0,0.0,0.0
41,0,0.333,0.2,simple,1.15,7,0.533,0.125,1.0,1.0,0.0,0.0,0.0
42,0,0.333,0.2,simple,1.2,3,0.533,0.125,1.0,1.0,0.0,0.0,0.0
43,0,0.333,0.2,simple,1.2,5,0.533,0.125,1.0,1.0,0.0,0.0,0.0
44,0,0.333,0.2,simple,1.2,7,0.533,0.125,1.0,1.0,0.0,0.0,0.0
45,0,0.333,0.2,daytime,1.0,3,0.6,0.25,1.0,1.0,4.875,5.797,2.0
46,0,0.333,0.2,daytime,1.0,5,0.583,0.219,1.0,1.0,8.286,12.657,0.0
47,0,0.333,0.2,daytime,1.0,7,0.55,0.156,1.0,1.0,2.4,4.8,0.0
48,0,0.333,0.2,daytime,1.05,3,0.583,0.219,1.0,1.0,6.429,7.442,0.0
49,0,0.333,0.2,daytime,1.05,5,0.55,0.156,1.0,1.0,3.8,7.6,0.0
50,0,0.333,0.2,daytime,1.05,7,0.55,0.156,1.0,1.0,3.6,7.2,0.0
51,0,0.333,0.2,daytime,1.1,3,0.567,0.188,1.0,1.0,8.667,13.548,0.0
52,0,0.333,0.2,daytime,1.1,5,0.55,0.156,1.0,1.0,6.8,13.6,0.0
53,0,0.333,0.2,daytime,1.1,7,0.55,0.156,1.0,1.0,7.0,14.0,0.0
54,0,0.333,0.2,daytime,1.15,3,0.533,0.125,1.0,1.0,0.0,0.0,0.0
55,0,0.333,0.2,daytime,1.15,5,0.533,0.125,1.0,1.0,0.0,0.0,0.0
56,0,0.333,0.2,daytime,1.15,7,0.533,0.125,1.0,1.0,0.0,0.0,0.0
