,cv_step,past_end,window,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0,0,1,1,0.92,0.857,0.966,0.947,8.722,18.381,0.0
1,1,1,1,0.85,0.706,1.0,1.0,15.806,30.968,0.0
2,2,1,1,0.96,0.926,1.0,1.0,3.6,9.132,0.0
3,3,1,1,0.9,0.811,1.0,1.0,4.977,9.257,0.0
4,4,1,1,0.92,0.875,0.962,0.955,6.071,10.711,0.0
5,0,1,2,0.84,0.712,0.979,0.974,10.459,24.777,0.0
6,1,1,2,0.94,0.882,1.0,1.0,11.222,28.02,1.0
7,2,1,2,0.93,0.878,0.98,0.977,3.651,6.958,0.0
8,3,1,2,0.95,0.891,1.0,1.0,11.024,38.034,0.0
9,4,1,2,0.94,0.88,1.0,1.0,9.182,24.935,0.5
10,0,1,3,0.92,0.826,1.0,1.0,4.553,12.128,0.0
11,1,1,3,0.84,0.667,1.0,1.0,0.781,2.42,0.0
12,2,1,3,0.94,0.875,1.0,1.0,15.286,36.62,0.0
13,3,1,3,0.88,0.778,1.0,1.0,3.929,11.072,0.0
14,4,1,3,0.92,0.865,0.979,0.978,10.311,33.966,0.0
15,0,1,4,0.92,0.84,1.0,1.0,6.286,11.937,0.5
16,1,1,4,0.94,0.88,1.0,1.0,11.432,34.332,1.0
17,2,1,4,0.91,0.82,1.0,1.0,2.951,9.323,0.0
18,3,1,4,0.89,0.776,1.0,1.0,13.079,43.778,0.0
19,4,1,4,0.91,0.837,0.98,0.976,9.0,19.048,1.0
20,0,1,5,0.92,0.871,1.0,1.0,6.37,16.094,0.5
21,1,1,5,0.92,0.826,1.0,1.0,7.263,13.964,0.5
22,2,1,5,0.89,0.75,0.983,0.968,3.167,6.24,0.0
23,3,1,5,0.9,0.796,1.0,1.0,4.846,9.352,1.0
24,4,1,5,0.96,0.922,1.0,1.0,4.064,14.832,0.0
25,0,2,1,0.92,0.87,0.978,0.979,26.085,74.426,0.0
26,1,2,1,0.88,0.755,1.0,1.0,4.162,7.727,0.0
27,2,2,1,0.93,0.86,1.0,1.0,6.628,13.546,0.0
28,3,2,1,0.87,0.75,1.0,1.0,17.564,33.489,0.0
29,4,2,1,0.86,0.674,1.0,1.0,4.517,10.457,0.0
30,0,2,2,0.89,0.766,1.0,1.0,4.139,11.123,0.0
31,1,2,2,0.88,0.778,1.0,1.0,8.095,14.504,0.0
32,2,2,2,0.93,0.879,1.0,1.0,6.882,12.8,0.0
33,3,2,2,0.82,0.571,1.0,1.0,3.625,9.291,0.0
34,4,2,2,0.88,0.745,1.0,1.0,15.571,36.739,0.0
35,0,2,3,0.87,0.74,1.0,1.0,12.243,39.122,1.0
36,1,2,3,0.91,0.82,1.0,1.0,8.0,18.45,0.0
37,2,2,3,0.86,0.72,1.0,1.0,11.861,27.271,1.0
