window,past_end,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
1,1,2,0.91,0.835,0.986,0.98,7.835,15.69,0.0
1,2,2,0.892,0.782,0.996,0.996,11.791,27.929,0.0
1,3,2,0.868,0.733,1.0,1.0,10.01,23.394,0.4
1,4,2,0.872,0.743,1.0,1.0,10.135,24.389,0.2
1,5,2,0.87,0.738,1.0,1.0,8.877,21.888,0.4
2,1,2,0.92,0.849,0.992,0.99,9.108,24.545,0.3
2,2,2,0.88,0.748,1.0,1.0,7.662,16.891,0.0
2,3,2,0.908,0.814,1.0,1.0,8.957,20.91,0.1
2,4,2,0.872,0.744,1.0,1.0,10.398,20.427,0.5
2,5,2,0.864,0.73,0.996,0.994,7.083,16.338,0.0
3,1,2,0.9,0.802,0.996,0.996,6.972,19.241,0.0
3,2,2,0.878,0.754,1.0,1.0,8.518,21.388,0.4
3,3,2,0.874,0.748,0.996,0.996,10.22,26.25,0.4
3,4,2,0.856,0.707,1.0,1.0,7.279,19.956,0.0
3,5,2,0.862,0.722,1.0,1.0,7.506,20.299,0.0
4,1,2,0.914,0.831,0.996,0.995,8.55,23.684,0.5
4,2,2,0.892,0.782,1.0,1.0,11.528,25.98,1.3
4,3,2,0.868,0.732,0.995,0.996,7.646,19.952,0.7
4,4,2,0.866,0.728,1.0,1.0,7.922,22.155,0.6
4,5,2,0.856,0.716,0.996,0.995,7.757,19.65,0.6
5,1,2,0.918,0.833,0.997,0.994,5.142,12.096,0.4
5,2,2,0.884,0.766,1.0,1.0,10.415,23.86,1.9
5,3,2,0.858,0.713,1.0,1.0,6.239,18.595,0.6
5,4,2,0.866,0.729,1.0,1.0,11.02,25.646,1.0
5,5,2,0.876,0.749,1.0,1.0,8.928,21.474,1.0
