,cv_step,past_end,window,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0,0,1,1,0.94,0.917,0.962,0.957,5.977,14.925,0.0
1,1,1,1,0.94,0.933,0.945,0.933,5.786,11.993,0.0
2,2,1,1,0.95,0.9,1.0,1.0,4.622,11.2,0.0
3,3,1,1,0.92,0.882,0.959,0.957,13.4,32.918,0.0
4,4,1,1,0.96,0.944,0.978,0.981,12.471,28.86,0.0
5,0,1,2,0.94,0.882,1.0,1.0,6.378,14.466,0.0
6,1,1,2,0.95,0.9,1.0,1.0,4.867,9.519,0.0
7,2,1,2,0.93,0.936,0.925,0.917,11.205,24.747,0.0
8,3,1,2,0.92,0.878,0.961,0.956,5.047,13.399,0.0
9,4,1,2,0.92,0.843,1.0,1.0,6.86,18.164,0.0
10,0,1,3,0.91,0.833,0.981,0.976,7.825,19.196,0.0
11,1,1,3,0.95,0.896,1.0,1.0,11.233,38.092,0.0
12,2,1,3,0.94,0.867,1.0,1.0,4.231,10.528,0.0
13,3,1,3,0.9,0.857,0.941,0.933,5.738,17.338,0.0
14,4,1,3,0.96,0.966,0.952,0.966,6.607,25.899,0.0
15,0,1,4,0.92,0.88,0.96,0.957,6.841,27.541,0.0
16,1,1,4,0.9,0.778,1.0,1.0,6.029,18.782,0.0
17,2,1,4,0.96,0.926,1.0,1.0,3.02,4.68,0.5
18,3,1,4,0.94,0.927,0.956,0.962,3.059,7.215,0.0
19,4,1,4,0.97,0.932,1.0,1.0,7.561,21.263,0.0
20,0,1,5,0.93,0.875,0.981,0.977,7.39,20.142,0.0
21,1,1,5,0.96,0.933,0.982,0.977,7.619,14.651,1.0
22,2,1,5,0.95,0.929,0.977,0.981,5.173,8.059,1.5
23,3,1,5,0.97,0.955,0.982,0.977,2.286,5.737,0.0
24,4,1,5,0.9,0.891,0.911,0.925,8.837,32.614,0.0
25,0,2,1,0.87,0.759,1.0,1.0,12.122,21.655,1.0
26,1,2,1,0.92,0.83,1.0,1.0,8.821,18.872,0.0
27,2,2,1,0.88,0.782,1.0,1.0,9.767,32.697,0.0
28,3,2,1,0.87,0.8,0.927,0.9,12.0,32.303,0.0
29,4,2,1,0.87,0.723,1.0,1.0,9.088,15.39,0.0
30,0,2,2,0.83,0.646,1.0,1.0,5.452,20.079,0.0
31,1,2,2,0.94,0.857,1.0,1.0,8.417,17.473,0.0
32,2,2,2,0.92,0.854,0.981,0.976,22.951,60.85,1.0
33,3,2,2,0.85,0.732,1.0,1.0,9.927,18.389,1.0
34,4,2,2,0.92,0.852,1.0,1.0,5.848,14.907,0.0
35,0,2,3,0.89,0.776,1.0,1.0,5.789,14.571,0.0
36,1,2,3,0.91,0.868,0.957,0.958,6.543,17.883,0.0
37,2,2,3,0.85,0.694,1.0,1.0,7.706,27.209,0.0
38,3,2,3,0.91,0.83,1.0,1.0,10.5,32.078,0.0
39,4,2,3,0.9,0.773,1.0,1.0,10.765,23.86,0.0
40,0,2,4,0.91,0.791,1.0,1.0,2.706,6.75,0.0
41,1,2,4,0.91,0.824,1.0,1.0,10.585,34.033,0.0
42,2,2,4,0.87,0.776,1.0,1.0,23.622,45.994,0.0
43,3,2,4,0.88,0.745,1.0,1.0,4.571,8.567,0.0
44,4,2,4,0.91,0.816,1.0,1.0,5.0,19.584,0.0
45,0,2,5,0.93,0.851,1.0,1.0,9.05,22.67,0.0
46,1,2,5,0.9,0.783,1.0,1.0,6.361,14.543,0.0
47,2,2,5,0.92,0.86,0.98,0.977,10.837,26.656,1.0
48,3,2,5,0.85,0.727,1.0,1.0,7.075,17.924,0.5
49,4,2,5,0.87,0.74,1.0,1.0,3.108,8.33,0.0
50,0,3,1,0.88,0.733,1.0,1.0,8.606,16.096,0.0
51,1,3,1,0.86,0.725,1.0,1.0,16.73,32.995,0.0
52,2,3,1,0.94,0.907,0.965,0.951,11.026,29.891,0.0
53,3,3,1,0.85,0.717,1.0,1.0,18.474,34.0,2.5
54,4,3,1,0.87,0.768,1.0,1.0,12.465,23.788,0.0
55,0,3,2,0.89,0.725,1.0,1.0,7.103,13.018,0.0
56,1,3,2,0.86,0.774,1.0,1.0,16.354,34.26,0.5
57,2,3,2,0.91,0.78,1.0,1.0,8.656,11.513,4.5
58,3,3,2,0.88,0.769,1.0,1.0,9.875,18.605,0.0
59,4,3,2,0.88,0.774,1.0,1.0,10.073,20.923,0.0
60,0,3,3,0.83,0.679,1.0,1.0,8.889,35.405,0.0
61,1,3,3,0.93,0.868,1.0,1.0,12.913,42.072,0.0
62,2,3,3,0.87,0.717,1.0,1.0,3.515,9.77,0.0
63,3,3,3,0.87,0.764,1.0,1.0,9.214,24.391,0.0
64,4,3,3,0.91,0.78,1.0,1.0,7.375,22.55,0.0
65,0,3,4,0.89,0.761,1.0,1.0,5.4,13.078,0.0
66,1,3,4,0.92,0.837,1.0,1.0,7.22,21.69,0.0
67,2,3,4,0.87,0.755,1.0,1.0,7.1,36.729,0.0
68,3,3,4,0.86,0.745,1.0,1.0,5.707,16.011,1.0
69,4,3,4,0.88,0.733,1.0,1.0,11.939,26.189,0.0
70,0,3,5,0.84,0.704,1.0,1.0,15.132,44.952,1.0
71,1,3,5,0.92,0.854,0.981,0.976,3.488,7.793,1.0
72,2,3,5,0.86,0.75,0.979,0.975,11.179,23.397,1.0
73,3,3,5,0.92,0.854,0.981,0.976,17.976,37.093,1.0
74,4,3,5,0.89,0.761,1.0,1.0,3.886,10.392,0.0
75,0,4,1,0.91,0.83,1.0,1.0,15.295,35.753,1.0
76,1,4,1,0.84,0.652,1.0,1.0,14.1,33.045,0.0
77,2,4,1,0.93,0.854,1.0,1.0,7.488,13.355,0.0
78,3,4,1,0.93,0.885,0.979,0.979,14.609,34.727,0.0
79,4,4,1,0.87,0.735,1.0,1.0,21.833,50.316,0.0
80,0,4,2,0.88,0.745,1.0,1.0,5.4,11.241,0.0
81,1,4,2,0.89,0.792,1.0,1.0,25.786,51.634,1.0
82,2,4,2,0.83,0.679,1.0,1.0,5.194,19.343,0.0
83,3,4,2,0.9,0.756,1.0,1.0,5.645,12.825,0.0
84,4,4,2,0.95,0.907,1.0,1.0,12.959,27.945,1.0
85,0,4,3,0.92,0.837,1.0,1.0,5.951,15.791,0.0
86,1,4,3,0.87,0.764,1.0,1.0,3.333,8.111,0.0
87,2,4,3,0.84,0.694,0.98,0.971,21.853,47.591,0.0
88,3,4,3,0.89,0.771,1.0,1.0,11.189,29.582,0.0
89,4,4,3,0.89,0.766,1.0,1.0,11.917,22.962,0.0
90,0,4,4,0.83,0.685,1.0,1.0,8.27,27.248,0.0
91,1,4,4,0.88,0.733,1.0,1.0,12.727,39.866,1.0
92,2,4,4,0.85,0.7,1.0,1.0,8.143,20.133,1.0
93,3,4,4,0.88,0.778,1.0,1.0,14.143,39.627,0.0
94,4,4,4,0.9,0.8,0.982,0.973,3.417,9.423,0.0
95,0,4,5,0.88,0.75,0.982,0.971,12.485,40.689,1.0
96,1,4,5,0.86,0.78,0.976,0.979,19.413,45.632,1.0
97,2,4,5,0.89,0.78,1.0,1.0,4.641,7.628,1.0
98,3,4,5,0.91,0.82,1.0,1.0,23.78,48.189,2.0
99,4,4,5,0.83,0.644,0.982,0.967,7.448,27.855,1.0
100,0,5,1,0.86,0.745,1.0,1.0,20.78,46.325,0.0
101,1,5,1,0.86,0.736,1.0,1.0,13.615,36.652,0.0
102,2,5,1,0.8,0.62,0.98,0.969,12.194,21.057,1.0
103,3,5,1,0.94,0.857,1.0,1.0,13.778,25.27,1.0
104,4,5,1,0.89,0.771,1.0,1.0,7.676,18.326,0.0
105,0,5,2,0.89,0.814,1.0,1.0,11.104,24.328,0.0
106,1,5,2,0.89,0.796,1.0,1.0,6.767,18.195,0.0
107,2,5,2,0.8,0.535,1.0,1.0,28.304,60.388,1.0
108,3,5,2,0.89,0.771,1.0,1.0,7.351,18.227,0.0
109,4,5,2,0.93,0.841,1.0,1.0,15.378,27.35,1.0
110,0,5,3,0.89,0.804,0.98,0.976,7.561,21.745,0.0
111,1,5,3,0.86,0.72,1.0,1.0,7.694,26.566,0.0
112,2,5,3,0.9,0.804,1.0,1.0,12.61,35.951,0.0
113,3,5,3,0.89,0.766,1.0,1.0,14.167,48.27,0.0
114,4,5,3,0.85,0.694,1.0,1.0,9.265,30.536,0.0
115,0,5,4,0.91,0.812,1.0,1.0,15.974,39.697,1.0
116,1,5,4,0.9,0.816,0.98,0.976,12.256,30.975,0.0
117,2,5,4,0.94,0.893,1.0,1.0,7.265,26.925,0.0
118,3,5,4,0.87,0.745,1.0,1.0,11.105,23.084,1.0
119,4,5,4,0.92,0.818,1.0,1.0,13.139,42.991,0.5
120,0,5,5,0.81,0.627,1.0,1.0,13.968,50.004,0.0
121,1,5,5,0.84,0.692,1.0,1.0,13.639,40.999,1.0
122,2,5,5,0.89,0.792,1.0,1.0,9.19,27.311,0.5
123,3,5,5,0.93,0.854,0.983,0.972,14.171,26.509,1.0
124,4,5,5,0.88,0.765,1.0,1.0,20.974,55.788,0.0
