window,past_end,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
1,1,2,0.942,0.915,0.969,0.966,8.451,19.979,0.0
1,2,2,0.882,0.779,0.985,0.98,10.36,24.183,0.2
1,3,2,0.88,0.77,0.993,0.99,13.46,27.354,0.5
1,4,2,0.896,0.791,0.996,0.996,14.665,33.439,0.2
1,5,2,0.87,0.746,0.996,0.994,13.609,29.526,0.4
2,1,2,0.932,0.888,0.977,0.975,6.871,16.059,0.0
2,2,2,0.892,0.788,0.996,0.995,10.519,26.34,0.4
2,3,2,0.884,0.764,1.0,1.0,10.412,19.664,1.0
2,4,2,0.89,0.776,1.0,1.0,10.997,24.598,0.4
2,5,2,0.88,0.751,1.0,1.0,13.781,29.698,0.4
3,1,2,0.932,0.884,0.975,0.975,7.127,22.211,0.0
3,2,2,0.892,0.788,0.991,0.992,8.261,23.12,0.0
3,3,2,0.882,0.762,1.0,1.0,8.381,26.838,0.0
3,4,2,0.882,0.766,0.996,0.994,10.849,24.807,0.0
3,5,2,0.878,0.758,0.996,0.995,10.259,32.614,0.0
4,1,2,0.938,0.889,0.983,0.984,5.302,15.896,0.1
4,2,2,0.896,0.79,1.0,1.0,9.297,22.986,0.0
4,3,2,0.884,0.766,1.0,1.0,7.473,22.739,0.2
4,4,2,0.868,0.739,0.996,0.995,9.34,27.259,0.4
4,5,2,0.908,0.817,0.996,0.995,11.948,32.734,0.5
5,1,2,0.942,0.917,0.967,0.967,6.261,16.241,0.5
5,2,2,0.894,0.792,0.996,0.995,7.286,18.025,0.3
5,3,2,0.886,0.785,0.988,0.985,10.332,24.725,0.8
5,4,2,0.874,0.755,0.988,0.983,13.553,33.999,1.2
5,5,2,0.87,0.746,0.997,0.994,14.388,40.122,0.5
