,cv_step,past_end,window,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0,0,1,1,0.95,0.96,0.94,0.941,12.042,28.441,0.0
1,1,1,1,0.94,0.915,0.962,0.956,7.86,16.863,0.0
2,2,1,1,0.95,0.933,0.975,0.982,6.6,15.027,0.0
3,3,1,1,0.95,0.907,0.982,0.975,7.0,15.907,0.0
4,4,1,1,0.97,0.936,1.0,1.0,8.068,13.25,0.0
5,0,1,2,0.92,0.882,0.959,0.957,2.689,7.586,0.0
6,1,1,2,0.96,0.939,0.98,0.979,17.37,52.333,1.0
7,2,1,2,0.97,0.949,0.984,0.974,5.297,11.368,0.0
8,3,1,2,0.96,0.965,0.953,0.965,9.463,17.014,0.5
9,4,1,2,0.93,0.902,0.959,0.958,7.304,16.764,0.0
10,0,1,3,0.97,0.96,0.98,0.98,6.936,23.984,0.0
11,1,1,3,0.96,0.956,0.964,0.956,4.628,13.022,0.0
12,2,1,3,0.94,0.927,0.956,0.962,4.078,11.077,0.0
13,3,1,3,0.92,0.911,0.932,0.944,10.098,30.306,0.0
14,4,1,3,0.95,0.902,0.983,0.974,5.27,11.458,0.0
15,0,1,4,0.95,0.904,1.0,1.0,4.609,12.03,0.0
16,1,1,4,0.94,0.936,0.943,0.936,5.705,13.51,0.0
17,2,1,4,0.98,0.981,0.979,0.981,4.961,12.675,0.0
18,3,1,4,0.9,0.878,0.922,0.915,7.698,24.192,0.0
19,4,1,4,0.97,0.957,0.981,0.978,5.844,14.351,1.0
20,0,1,5,0.94,0.957,0.926,0.917,7.395,13.356,1.0
21,1,1,5,0.88,0.829,0.915,0.872,5.529,24.508,0.0
22,2,1,5,0.95,0.943,0.957,0.962,3.78,11.17,0.0
23,3,1,5,0.95,0.966,0.927,0.95,5.386,12.123,0.0
24,4,1,5,0.92,0.875,0.962,0.955,8.167,26.034,0.0
25,0,2,1,0.95,0.891,1.0,1.0,6.049,11.947,0.0
26,1,2,1,0.92,0.857,0.98,0.977,11.548,26.343,0.0
27,2,2,1,0.93,0.87,1.0,1.0,9.298,16.022,0.0
28,3,2,1,0.95,0.9,1.0,1.0,7.244,18.01,0.0
29,4,2,1,0.91,0.833,0.981,0.976,4.775,12.449,0.0
30,0,2,2,0.95,0.905,0.983,0.974,8.842,29.18,0.0
31,1,2,2,0.92,0.84,1.0,1.0,9.595,27.317,0.0
32,2,2,2,0.95,0.909,1.0,1.0,9.86,16.344,0.5
33,3,2,2,0.92,0.848,0.981,0.975,6.333,11.592,1.0
34,4,2,2,0.95,0.926,0.978,0.98,10.1,21.194,1.0
35,0,2,3,0.96,0.905,1.0,1.0,16.658,38.614,0.0
36,1,2,3,0.91,0.849,0.979,0.978,2.244,5.267,0.0
37,2,2,3,0.92,0.872,0.962,0.953,6.683,15.342,0.0
38,3,2,3,0.91,0.857,0.977,0.98,12.188,34.293,0.0
39,4,2,3,0.92,0.837,1.0,1.0,3.244,9.357,0.0
40,0,2,4,0.88,0.769,1.0,1.0,10.25,33.879,0.0
41,1,2,4,0.93,0.878,0.98,0.977,2.698,7.397,0.0
42,2,2,4,0.91,0.82,1.0,1.0,1.951,5.535,0.0
43,3,2,4,0.88,0.812,0.942,0.929,5.667,27.272,0.0
44,4,2,4,0.97,0.958,0.981,0.979,6.826,15.511,1.0
45,0,2,5,0.84,0.735,0.941,0.923,8.306,32.54,0.0
46,1,2,5,0.92,0.878,0.961,0.956,7.116,24.939,1.0
47,2,2,5,0.91,0.875,0.942,0.933,4.429,8.608,1.0
48,3,2,5,0.95,0.93,0.977,0.981,9.075,28.659,0.0
49,4,2,5,0.97,0.955,0.982,0.977,5.0,11.844,0.0
50,0,3,1,0.93,0.857,1.0,1.0,5.548,11.162,0.0
51,1,3,1,0.94,0.889,0.982,0.976,12.925,29.22,0.0
52,2,3,1,0.96,0.962,0.957,0.962,14.196,41.441,0.0
53,3,3,1,0.89,0.792,0.981,0.974,10.553,18.579,0.0
54,4,3,1,0.92,0.865,0.979,0.978,6.644,12.25,0.0
55,0,3,2,0.91,0.843,0.98,0.977,8.651,31.054,0.0
56,1,3,2,0.98,0.981,0.979,0.981,6.451,12.548,0.0
57,2,3,2,0.92,0.825,0.983,0.971,6.121,12.998,0.0
58,3,3,2,0.91,0.87,0.957,0.959,8.213,15.002,0.0
59,4,3,2,0.95,0.92,0.98,0.979,22.283,52.212,0.0
60,0,3,3,0.98,0.958,1.0,1.0,11.239,26.731,0.0
61,1,3,3,0.93,0.87,1.0,1.0,4.851,9.75,0.0
62,2,3,3,0.88,0.792,0.979,0.977,8.286,26.582,0.0
63,3,3,3,0.94,0.891,0.981,0.976,5.805,15.465,0.0
64,4,3,3,0.96,0.913,1.0,1.0,7.619,26.333,0.0
65,0,3,4,0.94,0.914,0.976,0.981,9.264,26.707,0.0
66,1,3,4,0.92,0.884,0.947,0.927,12.105,41.163,0.0
67,2,3,4,0.94,0.896,0.981,0.977,7.558,19.718,0.0
68,3,3,4,0.94,0.889,0.982,0.976,4.15,9.093,0.0
69,4,3,4,0.96,0.925,1.0,1.0,5.898,24.263,0.0
70,0,3,5,0.93,0.892,0.952,0.917,3.182,6.408,1.0
71,1,3,5,0.94,0.9,0.98,0.978,14.956,37.859,1.0
72,2,3,5,0.95,0.922,0.98,0.979,3.489,10.363,0.0
73,3,3,5,0.94,0.92,0.96,0.958,10.978,29.191,0.0
74,4,3,5,0.9,0.831,1.0,1.0,5.673,13.094,0.0
75,0,4,1,0.92,0.863,0.98,0.978,7.477,13.111,0.0
76,1,4,1,0.88,0.812,0.942,0.929,13.256,26.68,0.0
77,2,4,1,0.97,0.933,1.0,1.0,5.929,14.305,0.0
78,3,4,1,0.96,0.925,1.0,1.0,10.673,25.475,0.0
79,4,4,1,0.95,0.94,0.96,0.959,14.936,35.079,1.0
80,0,4,2,0.97,0.944,1.0,1.0,10.294,25.717,0.0
81,1,4,2,0.98,0.978,0.982,0.978,6.432,14.09,0.0
82,2,4,2,0.95,0.918,0.98,0.978,7.867,14.722,0.0
83,3,4,2,0.92,0.854,0.981,0.976,10.878,20.838,0.0
84,4,4,2,0.93,0.882,0.98,0.978,6.867,13.346,0.0
85,0,4,3,0.98,0.956,1.0,1.0,13.488,23.303,0.0
86,1,4,3,0.92,0.885,0.974,0.982,8.944,19.749,1.0
87,2,4,3,0.93,0.868,0.968,0.943,1.333,3.539,0.0
88,3,4,3,0.96,0.931,1.0,1.0,4.778,15.763,0.0
89,4,4,3,0.95,0.889,1.0,1.0,10.175,26.619,0.0
90,0,4,4,0.97,0.943,1.0,1.0,5.7,15.088,0.0
91,1,4,4,0.93,0.872,0.981,0.976,12.61,39.284,0.0
92,2,4,4,0.95,0.894,1.0,1.0,4.929,10.082,0.0
93,3,4,4,0.95,0.944,0.957,0.962,6.333,18.808,0.0
94,4,4,4,0.95,0.913,0.981,0.977,5.333,10.875,0.0
95,0,4,5,0.91,0.837,0.965,0.947,5.583,12.67,0.0
96,1,4,5,0.94,0.909,0.978,0.98,3.62,7.296,0.5
97,2,4,5,0.94,0.896,0.981,0.977,8.535,30.999,1.0
98,3,4,5,0.96,0.96,0.96,0.96,3.583,9.943,0.0
99,4,4,5,0.96,0.961,0.959,0.961,5.429,22.52,0.0
100,0,5,1,0.93,0.917,0.942,0.936,3.545,7.93,0.0
101,1,5,1,0.94,0.896,0.981,0.977,10.977,23.39,0.0
102,2,5,1,0.94,0.86,1.0,1.0,14.73,49.838,0.0
103,3,5,1,0.98,0.962,1.0,1.0,6.51,11.546,0.0
104,4,5,1,0.92,0.891,0.956,0.961,12.347,25.752,0.0
105,0,5,2,0.91,0.86,0.96,0.956,8.93,17.846,0.0
106,1,5,2,0.89,0.788,1.0,1.0,11.683,22.424,0.0
107,2,5,2,0.99,0.976,1.0,1.0,13.854,40.351,0.0
108,3,5,2,0.98,0.96,1.0,1.0,6.188,12.262,0.0
109,4,5,2,0.95,0.925,0.979,0.98,4.755,10.403,0.0
110,0,5,3,0.93,0.867,0.982,0.975,12.641,34.164,0.0
111,1,5,3,0.95,0.912,1.0,1.0,10.115,22.81,0.0
112,2,5,3,0.95,0.898,1.0,1.0,8.659,29.718,0.0
113,3,5,3,0.96,0.933,0.982,0.977,5.548,10.644,0.0
114,4,5,3,0.98,0.961,1.0,1.0,9.592,19.572,1.0
115,0,5,4,0.95,0.902,1.0,1.0,3.0,7.841,0.0
116,1,5,4,0.97,0.96,0.98,0.98,11.625,33.746,0.0
117,2,5,4,0.92,0.884,0.947,0.927,5.079,13.22,0.0
118,3,5,4,0.93,0.878,0.98,0.977,7.744,25.571,0.0
119,4,5,4,0.94,0.907,0.978,0.98,4.633,10.151,0.0
120,0,5,5,0.98,0.981,0.978,0.981,5.66,13.752,0.0
121,1,5,5,0.96,0.925,1.0,1.0,3.02,7.141,0.0
122,2,5,5,0.94,0.875,0.983,0.972,8.971,26.922,1.0
123,3,5,5,0.94,0.902,0.98,0.979,5.022,11.968,1.0
124,4,5,5,0.95,0.959,0.941,0.94,5.17,10.576,0.0
