window,past_end,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
1,1,2,0.952,0.93,0.972,0.971,8.314,17.898,0.0
1,2,2,0.932,0.87,0.992,0.991,7.783,16.954,0.0
1,3,2,0.928,0.873,0.98,0.978,9.973,22.53,0.0
1,4,2,0.936,0.895,0.976,0.973,10.454,22.93,0.2
1,5,2,0.942,0.905,0.976,0.975,9.622,23.691,0.0
2,1,2,0.948,0.927,0.967,0.967,8.425,21.013,0.3
2,2,2,0.938,0.886,0.988,0.986,8.946,21.125,0.5
2,3,2,0.934,0.888,0.976,0.973,10.344,24.763,0.0
2,4,2,0.95,0.915,0.985,0.982,8.468,17.743,0.0
2,5,2,0.944,0.902,0.988,0.987,9.082,20.657,0.0
3,1,2,0.948,0.931,0.963,0.963,6.202,17.969,0.0
3,2,2,0.924,0.864,0.984,0.982,8.203,20.575,0.0
3,3,2,0.938,0.885,0.992,0.991,7.56,20.972,0.0
3,4,2,0.948,0.906,0.988,0.985,7.744,17.795,0.2
3,5,2,0.954,0.914,0.993,0.99,9.311,23.382,0.2
4,1,2,0.948,0.931,0.965,0.962,5.763,15.352,0.2
4,2,2,0.914,0.847,0.981,0.977,5.478,17.919,0.2
4,3,2,0.94,0.902,0.977,0.972,7.795,24.189,0.0
4,4,2,0.95,0.913,0.984,0.983,6.981,18.827,0.0
4,5,2,0.942,0.906,0.977,0.973,6.416,18.106,0.0
5,1,2,0.928,0.914,0.937,0.931,6.051,17.438,0.2
5,2,2,0.918,0.875,0.961,0.954,6.785,21.318,0.4
5,3,2,0.932,0.893,0.974,0.966,7.656,19.383,0.4
5,4,2,0.942,0.913,0.969,0.965,5.35,16.686,0.3
5,5,2,0.954,0.928,0.976,0.974,5.569,14.072,0.4
