,cv_step,n_neighbors,weights,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0,0,3,uniform,0.1,simple,1.0,3,0.64,0.367,0.902,0.783,61.4,61.406,57.0
1,0,3,uniform,0.1,simple,1.0,5,0.62,0.306,0.922,0.789,75.071,69.163,64.5
2,0,3,uniform,0.1,simple,1.0,7,0.6,0.265,0.922,0.765,97.667,70.046,77.5
3,0,3,uniform,0.1,simple,1.05,3,0.64,0.367,0.902,0.783,64.733,60.966,61.0
4,0,3,uniform,0.1,simple,1.05,5,0.62,0.306,0.922,0.789,87.0,74.006,73.0
5,0,3,uniform,0.1,simple,1.05,7,0.6,0.265,0.922,0.765,106.333,73.899,106.5
6,0,3,uniform,0.1,simple,1.1,3,0.63,0.327,0.922,0.8,65.0,63.097,64.5
7,0,3,uniform,0.1,simple,1.1,5,0.61,0.286,0.922,0.778,98.231,76.42,74.0
8,0,3,uniform,0.1,simple,1.1,7,0.61,0.265,0.941,0.812,106.333,73.899,106.5
9,0,3,uniform,0.1,simple,1.15,3,0.64,0.327,0.941,0.842,65.0,63.097,64.5
10,0,3,uniform,0.1,simple,1.15,5,0.61,0.265,0.941,0.812,98.231,76.42,74.0
11,0,3,uniform,0.1,simple,1.15,7,0.61,0.245,0.961,0.857,106.333,73.899,106.5
12,0,3,uniform,0.1,simple,1.2,3,0.66,0.306,1.0,1.0,72.786,70.693,64.5
13,0,3,uniform,0.1,simple,1.2,5,0.64,0.265,1.0,1.0,98.385,76.561,74.0
14,0,3,uniform,0.1,simple,1.2,7,0.62,0.224,1.0,1.0,99.182,73.058,73.0
15,0,3,uniform,0.1,daytime,1.0,3,0.62,0.612,0.627,0.612,60.077,64.968,39.5
16,0,3,uniform,0.1,daytime,1.0,5,0.64,0.571,0.706,0.651,72.792,65.482,62.5
17,0,3,uniform,0.1,daytime,1.0,7,0.64,0.51,0.765,0.676,88.545,72.278,70.0
18,0,3,uniform,0.1,daytime,1.05,3,0.65,0.612,0.686,0.652,60.077,64.968,39.5
19,0,3,uniform,0.1,daytime,1.05,5,0.67,0.571,0.765,0.7,74.0,66.859,62.5
