n_neighbors,weights,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
3,distance,daytime,1.0,0.1,3,2,0.492,0.988,0.0,0.495,18.449,43.414,0.4
3,distance,daytime,1.0,0.1,5,2,0.492,0.988,0.0,0.495,19.8,46.186,0.1
3,distance,daytime,1.0,0.1,7,2,0.492,0.988,0.0,0.495,20.708,47.537,0.0
3,distance,daytime,1.0,0.2,3,2,0.492,0.988,0.0,0.495,26.405,49.933,3.7
3,distance,daytime,1.0,0.2,5,2,0.492,0.988,0.0,0.495,26.976,50.466,3.9
3,distance,daytime,1.0,0.2,7,2,0.49,0.984,0.0,0.494,25.867,49.034,3.8
3,distance,daytime,1.0,0.3,3,2,0.49,0.984,0.0,0.494,33.64,55.203,7.5
3,distance,daytime,1.0,0.3,5,2,0.49,0.984,0.0,0.494,35.752,55.959,9.3
3,distance,daytime,1.0,0.3,7,2,0.49,0.984,0.0,0.494,38.162,56.291,10.4
3,distance,daytime,1.0,0.4,3,2,0.49,0.984,0.0,0.494,35.352,55.275,10.5
3,distance,daytime,1.0,0.4,5,2,0.49,0.984,0.0,0.494,40.064,57.705,11.6
3,distance,daytime,1.0,0.4,7,2,0.488,0.98,0.0,0.493,42.925,56.668,14.5
3,distance,daytime,1.0,0.5,3,2,0.488,0.98,0.0,0.493,45.27,62.058,14.9
3,distance,daytime,1.0,0.5,5,2,0.486,0.976,0.0,0.492,49.965,64.808,17.9
3,distance,daytime,1.0,0.5,7,2,0.484,0.968,0.004,0.491,52.374,66.36,21.8
3,distance,daytime,1.0,0.6,3,2,0.482,0.968,0.0,0.49,54.333,66.964,20.0
3,distance,daytime,1.0,0.6,5,2,0.486,0.964,0.012,0.492,57.88,67.633,26.7
3,distance,daytime,1.0,0.6,7,2,0.48,0.944,0.02,0.489,68.803,73.962,33.5
3,distance,daytime,1.0,0.7,3,2,0.478,0.956,0.004,0.488,59.155,68.34,23.5
3,distance,daytime,1.0,0.7,5,2,0.462,0.884,0.044,0.478,66.368,70.439,33.4
3,distance,daytime,1.0,0.7,7,2,0.468,0.82,0.12,0.48,75.0,76.907,38.3
3,distance,daytime,1.0,0.8,3,2,0.464,0.836,0.096,0.479,85.586,71.637,58.6
3,distance,daytime,1.0,0.8,5,2,0.464,0.655,0.275,0.473,100.388,72.449,86.8
3,distance,daytime,1.0,0.8,7,2,0.474,0.535,0.414,0.475,107.463,76.286,86.2
3,distance,daytime,1.0,0.9,3,2,0.44,0.474,0.407,0.444,96.659,74.416,76.6
3,distance,daytime,1.0,0.9,5,2,0.466,0.306,0.625,0.452,106.962,77.75,99.9
3,distance,daytime,1.0,0.9,7,2,0.49,0.246,0.733,0.477,120.047,86.905,101.6
3,distance,daytime,1.0,1.0,3,2,0.44,0.474,0.407,0.444,96.659,74.416,76.6
3,distance,daytime,1.0,1.0,5,2,0.466,0.306,0.625,0.452,106.962,77.75,99.9
3,distance,daytime,1.0,1.0,7,2,0.49,0.246,0.733,0.477,120.047,86.905,101.6
3,distance,daytime,1.05,0.1,3,2,0.492,0.988,0.0,0.495,18.449,43.414,0.4
3,distance,daytime,1.05,0.1,5,2,0.492,0.988,0.0,0.495,19.8,46.186,0.1
3,distance,daytime,1.05,0.1,7,2,0.492,0.988,0.0,0.495,20.708,47.537,0.0
3,distance,daytime,1.05,0.2,3,2,0.492,0.988,0.0,0.495,26.405,49.933,3.7
3,distance,daytime,1.05,0.2,5,2,0.492,0.988,0.0,0.495,26.976,50.466,3.9
3,distance,daytime,1.05,0.2,7,2,0.49,0.984,0.0,0.494,25.867,49.034,3.8
3,distance,daytime,1.05,0.3,3,2,0.49,0.984,0.0,0.494,33.64,55.203,7.5
3,distance,daytime,1.05,0.3,5,2,0.49,0.984,0.0,0.494,35.752,55.959,9.3
3,distance,daytime,1.05,0.3,7,2,0.49,0.984,0.0,0.494,38.162,56.291,10.4
3,distance,daytime,1.05,0.4,3,2,0.49,0.984,0.0,0.494,35.352,55.275,10.5
3,distance,daytime,1.05,0.4,5,2,0.49,0.984,0.0,0.494,40.064,57.705,11.6
3,distance,daytime,1.05,0.4,7,2,0.488,0.98,0.0,0.493,42.925,56.668,14.5
3,distance,daytime,1.05,0.5,3,2,0.488,0.98,0.0,0.493,45.27,62.058,14.9
3,distance,daytime,1.05,0.5,5,2,0.486,0.976,0.0,0.492,49.965,64.808,17.9
3,distance,daytime,1.05,0.5,7,2,0.484,0.968,0.004,0.491,52.374,66.36,21.8
3,distance,daytime,1.05,0.6,3,2,0.482,0.968,0.0,0.49,54.333,66.964,20.0
3,distance,daytime,1.05,0.6,5,2,0.486,0.964,0.012,0.492,57.88,67.633,26.7
3,distance,daytime,1.05,0.6,7,2,0.48,0.944,0.02,0.489,68.803,73.962,33.5
3,distance,daytime,1.05,0.7,3,2,0.478,0.956,0.004,0.488,59.155,68.34,23.5
3,distance,daytime,1.05,0.7,5,2,0.462,0.884,0.044,0.478,66.368,70.439,33.4
3,distance,daytime,1.05,0.7,7,2,0.468,0.82,0.12,0.48,75.0,76.907,38.3
3,distance,daytime,1.05,0.8,3,2,0.464,0.836,0.096,0.479,85.586,71.637,58.6
3,distance,daytime,1.05,0.8,5,2,0.464,0.655,0.275,0.473,100.388,72.449,86.8
3,distance,daytime,1.05,0.8,7,2,0.474,0.535,0.414,0.475,107.463,76.286,86.2
3,distance,daytime,1.05,0.9,3,2,0.44,0.474,0.407,0.444,96.659,74.416,76.6
3,distance,daytime,1.05,0.9,5,2,0.466,0.306,0.625,0.452,106.962,77.75,99.9
3,distance,daytime,1.05,0.9,7,2,0.49,0.246,0.733,0.477,120.047,86.905,101.6
3,distance,daytime,1.05,1.0,3,2,0.44,0.474,0.407,0.444,96.659,74.416,76.6
3,distance,daytime,1.05,1.0,5,2,0.466,0.306,0.625,0.452,106.962,77.75,99.9
3,distance,daytime,1.05,1.0,7,2,0.49,0.246,0.733,0.477,120.047,86.905,101.6
3,distance,daytime,1.1,0.1,3,2,0.492,0.988,0.0,0.495,18.449,43.414,0.4
3,distance,daytime,1.1,0.1,5,2,0.492,0.988,0.0,0.495,19.8,46.186,0.1
3,distance,daytime,1.1,0.1,7,2,0.492,0.988,0.0,0.495,20.708,47.537,0.0
3,distance,daytime,1.1,0.2,3,2,0.492,0.988,0.0,0.495,26.405,49.933,3.7
3,distance,daytime,1.1,0.2,5,2,0.492,0.988,0.0,0.495,26.976,50.466,3.9
3,distance,daytime,1.1,0.2,7,2,0.49,0.984,0.0,0.494,25.867,49.034,3.8
3,distance,daytime,1.1,0.3,3,2,0.49,0.984,0.0,0.494,33.64,55.203,7.5
3,distance,daytime,1.1,0.3,5,2,0.49,0.984,0.0,0.494,35.752,55.959,9.3
3,distance,daytime,1.1,0.3,7,2,0.49,0.984,0.0,0.494,38.162,56.291,10.4
3,distance,daytime,1.1,0.4,3,2,0.49,0.984,0.0,0.494,35.352,55.275,10.5
3,distance,daytime,1.1,0.4,5,2,0.49,0.984,0.0,0.494,40.064,57.705,11.6
3,distance,daytime,1.1,0.4,7,2,0.488,0.98,0.0,0.493,42.925,56.668,14.5
