alpha,max_iter,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,2000,daytime,1.0,0.1,3,2,0.932,0.89,0.976,0.974,11.185,28.436,0.0
0.333,2000,daytime,1.0,0.1,5,2,0.924,0.873,0.976,0.974,11.38,27.784,0.0
0.333,2000,daytime,1.0,0.1,7,2,0.914,0.849,0.981,0.977,10.305,23.875,0.2
0.333,2000,daytime,1.0,0.2,3,2,0.89,0.779,1.0,1.0,9.593,16.138,1.4
0.333,2000,daytime,1.0,0.2,5,2,0.884,0.767,1.0,1.0,11.384,19.435,1.4
0.333,2000,daytime,1.0,0.2,7,2,0.878,0.755,1.0,1.0,11.025,17.989,1.3
0.333,2000,daytime,1.0,0.3,3,2,0.828,0.655,1.0,1.0,7.333,15.919,0.4
0.333,2000,daytime,1.0,0.3,5,2,0.824,0.647,1.0,1.0,9.448,20.08,0.4
0.333,2000,daytime,1.0,0.3,7,2,0.818,0.635,1.0,1.0,12.046,30.846,0.6
0.333,2000,daytime,1.0,0.4,3,2,0.79,0.579,1.0,1.0,9.068,21.795,0.4
0.333,2000,daytime,1.0,0.4,5,2,0.784,0.567,1.0,1.0,8.924,20.424,0.0
0.333,2000,daytime,1.0,0.4,7,2,0.778,0.555,1.0,1.0,8.801,20.145,0.2
0.333,2000,daytime,1.0,0.5,3,2,0.734,0.465,1.0,1.0,6.099,13.072,0.0
0.333,2000,daytime,1.0,0.5,5,2,0.726,0.448,1.0,1.0,7.798,15.151,0.0
0.333,2000,daytime,1.0,0.5,7,2,0.722,0.44,1.0,1.0,9.746,20.889,0.2
0.333,2000,daytime,1.0,0.6,3,2,0.696,0.386,1.0,1.0,5.813,12.243,0.0
0.333,2000,daytime,1.0,0.6,5,2,0.69,0.374,1.0,1.0,7.364,14.275,0.0
0.333,2000,daytime,1.0,0.6,7,2,0.69,0.374,1.0,1.0,10.221,22.883,0.1
0.333,2000,daytime,1.0,0.7,3,2,0.658,0.309,1.0,1.0,10.171,23.422,0.0
0.333,2000,daytime,1.0,0.7,5,2,0.654,0.302,1.0,1.0,13.552,28.429,0.1
0.333,2000,daytime,1.0,0.7,7,2,0.65,0.294,1.0,1.0,17.942,39.284,0.1
0.333,2000,daytime,1.0,0.8,3,2,0.564,0.119,1.0,1.0,5.328,8.505,0.1
0.333,2000,daytime,1.0,0.8,5,2,0.562,0.114,1.0,1.0,8.45,10.728,3.3
0.333,2000,daytime,1.0,0.8,7,2,0.558,0.105,1.0,1.0,12.383,17.01,5.6
0.333,2000,daytime,1.0,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.0,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.0,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.0,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.0,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.0,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,0.1,3,2,0.93,0.882,0.981,0.978,11.147,27.429,0.0
0.333,2000,daytime,1.05,0.1,5,2,0.918,0.857,0.981,0.977,10.156,23.179,0.0
0.333,2000,daytime,1.05,0.1,7,2,0.91,0.841,0.981,0.977,8.886,16.568,0.2
0.333,2000,daytime,1.05,0.2,3,2,0.886,0.771,1.0,1.0,12.139,25.18,1.4
0.333,2000,daytime,1.05,0.2,5,2,0.882,0.763,1.0,1.0,14.16,29.099,1.4
0.333,2000,daytime,1.05,0.2,7,2,0.874,0.748,1.0,1.0,13.012,24.929,1.1
0.333,2000,daytime,1.05,0.3,3,2,0.826,0.651,1.0,1.0,7.006,15.033,0.9
0.333,2000,daytime,1.05,0.3,5,2,0.818,0.635,1.0,1.0,8.033,16.09,0.8
0.333,2000,daytime,1.05,0.3,7,2,0.812,0.623,1.0,1.0,8.874,19.874,0.0
0.333,2000,daytime,1.05,0.4,3,2,0.786,0.571,1.0,1.0,8.496,20.143,0.0
0.333,2000,daytime,1.05,0.4,5,2,0.782,0.563,1.0,1.0,9.802,23.074,0.0
0.333,2000,daytime,1.05,0.4,7,2,0.774,0.546,1.0,1.0,8.423,17.019,0.2
0.333,2000,daytime,1.05,0.5,3,2,0.73,0.457,1.0,1.0,9.039,22.999,0.0
0.333,2000,daytime,1.05,0.5,5,2,0.716,0.427,1.0,1.0,7.833,15.482,0.0
0.333,2000,daytime,1.05,0.5,7,2,0.71,0.414,1.0,1.0,9.774,21.221,0.1
0.333,2000,daytime,1.05,0.6,3,2,0.692,0.379,1.0,1.0,5.365,11.823,0.0
0.333,2000,daytime,1.05,0.6,5,2,0.688,0.37,1.0,1.0,7.472,14.31,0.0
0.333,2000,daytime,1.05,0.6,7,2,0.688,0.37,1.0,1.0,10.729,23.46,0.1
0.333,2000,daytime,1.05,0.7,3,2,0.656,0.306,1.0,1.0,9.789,22.22,0.0
0.333,2000,daytime,1.05,0.7,5,2,0.65,0.294,1.0,1.0,14.22,28.707,0.1
0.333,2000,daytime,1.05,0.7,7,2,0.646,0.286,1.0,1.0,14.301,28.83,0.1
0.333,2000,daytime,1.05,0.8,3,2,0.562,0.114,1.0,1.0,5.642,8.527,1.1
0.333,2000,daytime,1.05,0.8,5,2,0.558,0.106,1.0,1.0,8.988,10.905,3.3
