,cv_step,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0,0,0.1,simple,1.0,1,0.82,0.698,0.957,0.949,6.081,21.808,0.0
1,0,0.1,simple,1.0,3,0.8,0.66,0.957,0.946,3.771,8.646,0.0
2,0,0.1,simple,1.0,5,0.81,0.66,0.979,0.972,3.971,8.811,0.0
3,0,0.1,simple,1.0,7,0.81,0.66,0.979,0.972,5.629,11.709,0.0
4,0,0.1,simple,1.05,1,0.8,0.66,0.957,0.946,2.371,9.19,0.0
5,0,0.1,simple,1.05,3,0.81,0.66,0.979,0.972,5.2,11.718,0.0
6,0,0.1,simple,1.05,5,0.81,0.66,0.979,0.972,5.4,11.816,0.0
7,0,0.1,simple,1.05,7,0.81,0.66,0.979,0.972,7.114,17.969,0.0
8,0,0.1,simple,1.1,1,0.8,0.66,0.957,0.946,3.8,16.784,0.0
9,0,0.1,simple,1.1,3,0.81,0.66,0.979,0.972,6.629,18.068,0.0
10,0,0.1,simple,1.1,5,0.81,0.66,0.979,0.972,6.829,18.116,0.0
11,0,0.1,simple,1.1,7,0.81,0.66,0.979,0.972,7.2,18.101,0.0
12,0,0.1,simple,1.15,1,0.8,0.66,0.957,0.946,5.171,18.68,0.0
13,0,0.1,simple,1.15,3,0.82,0.66,1.0,1.0,8.0,19.645,0.0
14,0,0.1,simple,1.15,5,0.82,0.66,1.0,1.0,8.2,19.676,0.0
15,0,0.1,simple,1.15,7,0.82,0.66,1.0,1.0,16.8,64.748,0.0
16,0,0.1,simple,1.2,1,0.82,0.66,1.0,1.0,6.686,23.685,0.0
17,0,0.1,simple,1.2,3,0.82,0.66,1.0,1.0,17.714,66.275,0.0
18,0,0.1,simple,1.2,5,0.82,0.66,1.0,1.0,20.629,75.843,0.0
19,0,0.1,simple,1.2,7,0.81,0.642,1.0,1.0,10.147,33.446,0.0
20,0,0.1,daytime,1.0,1,0.94,0.925,0.957,0.961,8.102,30.733,0.0
21,0,0.1,daytime,1.0,3,0.93,0.906,0.957,0.96,6.542,12.515,0.0
22,0,0.1,daytime,1.0,5,0.93,0.906,0.957,0.96,7.312,12.934,0.0
23,0,0.1,daytime,1.0,7,0.92,0.887,0.957,0.959,10.553,28.792,0.0
