th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
daytime,1.0,0.1,1,2,0.95,0.935,0.965,0.963,4.916,18.244,0.0
daytime,1.0,0.1,3,2,0.946,0.92,0.972,0.971,7.306,17.305,0.0
daytime,1.0,0.1,5,2,0.946,0.916,0.976,0.974,8.403,18.478,0.0
daytime,1.0,0.1,7,2,0.938,0.899,0.976,0.974,11.991,31.62,0.0
daytime,1.0,0.2,1,2,0.946,0.891,1.0,1.0,8.92,29.873,0.0
daytime,1.0,0.2,3,2,0.94,0.879,1.0,1.0,12.09,29.163,0.0
daytime,1.0,0.2,5,2,0.924,0.847,1.0,1.0,10.88,25.807,0.0
daytime,1.0,0.2,7,2,0.916,0.831,1.0,1.0,11.206,24.526,0.0
daytime,1.0,0.3,1,2,0.904,0.807,1.0,1.0,11.142,34.179,0.0
daytime,1.0,0.3,3,2,0.892,0.783,1.0,1.0,11.091,26.378,0.2
daytime,1.0,0.3,5,2,0.888,0.775,1.0,1.0,12.512,26.353,0.6
daytime,1.0,0.3,7,2,0.882,0.763,1.0,1.0,13.094,28.096,0.6
daytime,1.0,0.4,1,2,0.844,0.686,1.0,1.0,10.786,27.92,0.0
daytime,1.0,0.4,3,2,0.832,0.661,1.0,1.0,14.241,31.737,0.9
daytime,1.0,0.4,5,2,0.822,0.642,1.0,1.0,14.808,29.441,1.4
daytime,1.0,0.4,7,2,0.818,0.633,1.0,1.0,15.451,30.769,1.4
daytime,1.0,0.5,1,2,0.724,0.443,1.0,1.0,15.11,29.348,0.0
daytime,1.0,0.5,3,2,0.714,0.422,1.0,1.0,13.59,23.202,1.7
daytime,1.0,0.5,5,2,0.708,0.409,1.0,1.0,16.478,26.83,1.9
daytime,1.0,0.5,7,2,0.696,0.385,1.0,1.0,21.167,35.498,1.3
daytime,1.0,0.6,1,2,0.61,0.212,1.0,1.0,8.431,15.029,0.0
daytime,1.0,0.6,3,2,0.602,0.195,1.0,1.0,9.148,15.785,0.0
daytime,1.0,0.6,5,2,0.598,0.187,1.0,1.0,12.578,22.115,0.0
daytime,1.0,0.6,7,2,0.594,0.179,1.0,1.0,16.058,31.724,0.4
daytime,1.0,0.7,1,2,0.52,0.029,1.0,0.8,200000042.433,36.097,200000047.5
daytime,1.0,0.7,3,2,0.514,0.017,1.0,0.6,400000014.7,14.7,400000014.7
daytime,1.0,0.7,5,2,0.51,0.008,1.0,0.4,600000001.4,0.0,600000001.4
daytime,1.0,0.7,7,2,0.51,0.008,1.0,0.4,600000001.4,0.0,600000001.4
daytime,1.0,0.8,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.8,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.8,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.8,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.9,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,1.0,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.0,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,0.1,1,2,0.948,0.927,0.968,0.966,4.663,15.096,0.0
daytime,1.05,0.1,3,2,0.94,0.907,0.972,0.97,7.934,20.051,0.0
daytime,1.05,0.1,5,2,0.942,0.907,0.976,0.974,9.421,22.41,0.0
daytime,1.05,0.1,7,2,0.934,0.891,0.976,0.973,11.996,30.105,0.0
daytime,1.05,0.2,1,2,0.94,0.879,1.0,1.0,8.986,28.008,0.0
daytime,1.05,0.2,3,2,0.934,0.867,1.0,1.0,12.307,29.928,0.0
daytime,1.05,0.2,5,2,0.92,0.84,1.0,1.0,10.531,23.829,0.0
daytime,1.05,0.2,7,2,0.912,0.823,1.0,1.0,10.331,21.984,0.1
daytime,1.05,0.3,1,2,0.9,0.799,1.0,1.0,10.177,31.687,0.0
daytime,1.05,0.3,3,2,0.89,0.779,1.0,1.0,10.241,21.912,0.3
daytime,1.05,0.3,5,2,0.882,0.763,1.0,1.0,11.59,24.083,0.6
daytime,1.05,0.3,7,2,0.878,0.755,1.0,1.0,12.436,25.955,0.6
daytime,1.05,0.4,1,2,0.838,0.673,1.0,1.0,11.141,27.903,0.0
daytime,1.05,0.4,3,2,0.828,0.654,1.0,1.0,13.992,25.268,0.9
daytime,1.05,0.4,5,2,0.82,0.637,1.0,1.0,16.999,32.178,1.7
daytime,1.05,0.4,7,2,0.816,0.629,1.0,1.0,19.105,35.552,2.0
daytime,1.05,0.5,1,2,0.72,0.434,1.0,1.0,16.185,32.699,0.1
daytime,1.05,0.5,3,2,0.71,0.414,1.0,1.0,15.943,29.428,1.9
daytime,1.05,0.5,5,2,0.7,0.394,1.0,1.0,18.474,29.672,1.1
daytime,1.05,0.5,7,2,0.688,0.369,1.0,1.0,16.902,26.824,1.2
daytime,1.05,0.6,1,2,0.608,0.208,1.0,1.0,7.821,14.579,0.0
daytime,1.05,0.6,3,2,0.596,0.183,1.0,1.0,12.909,23.286,0.0
daytime,1.05,0.6,5,2,0.592,0.175,1.0,1.0,8.734,15.637,0.0
daytime,1.05,0.6,7,2,0.592,0.175,1.0,1.0,17.38,32.083,0.7
daytime,1.05,0.7,1,2,0.518,0.025,1.0,0.8,200000029.333,19.411,200000040.8
daytime,1.05,0.7,3,2,0.512,0.012,1.0,0.6,400000001.8,0.0,400000001.8
daytime,1.05,0.7,5,2,0.51,0.008,1.0,0.4,600000001.6,0.0,600000001.6
daytime,1.05,0.7,7,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
daytime,1.05,0.8,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,0.8,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,0.8,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,0.8,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,0.9,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,1.0,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.05,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.1,1,2,0.946,0.919,0.972,0.971,4.854,16.015,0.0
daytime,1.1,0.1,3,2,0.94,0.903,0.976,0.974,7.886,18.149,0.0
daytime,1.1,0.1,5,2,0.936,0.895,0.976,0.974,8.982,20.546,0.0
daytime,1.1,0.1,7,2,0.93,0.883,0.976,0.973,11.524,28.113,0.0
daytime,1.1,0.2,1,2,0.932,0.863,1.0,1.0,8.436,25.711,0.0
daytime,1.1,0.2,3,2,0.922,0.844,1.0,1.0,9.983,24.011,0.0
daytime,1.1,0.2,5,2,0.916,0.831,1.0,1.0,10.267,23.568,0.0
daytime,1.1,0.2,7,2,0.91,0.819,1.0,1.0,10.506,22.738,0.1
daytime,1.1,0.3,1,2,0.894,0.787,1.0,1.0,8.03,23.1,0.0
daytime,1.1,0.3,3,2,0.89,0.779,1.0,1.0,11.645,24.992,0.5
daytime,1.1,0.3,5,2,0.878,0.755,1.0,1.0,10.648,20.9,0.8
daytime,1.1,0.3,7,2,0.872,0.743,1.0,1.0,10.465,19.783,0.8
daytime,1.1,0.4,1,2,0.834,0.665,1.0,1.0,11.447,30.635,0.0
daytime,1.1,0.4,3,2,0.824,0.645,1.0,1.0,16.775,32.363,0.9
daytime,1.1,0.4,5,2,0.82,0.637,1.0,1.0,19.466,34.986,2.4
daytime,1.1,0.4,7,2,0.81,0.617,1.0,1.0,18.125,32.766,1.9
daytime,1.1,0.5,1,2,0.716,0.426,1.0,1.0,16.319,34.664,0.1
daytime,1.1,0.5,3,2,0.704,0.402,1.0,1.0,17.52,30.847,1.1
daytime,1.1,0.5,5,2,0.698,0.39,1.0,1.0,20.333,34.801,1.2
daytime,1.1,0.5,7,2,0.682,0.357,1.0,1.0,16.941,28.243,1.2
daytime,1.1,0.6,1,2,0.6,0.192,1.0,1.0,7.726,15.232,0.0
daytime,1.1,0.6,3,2,0.592,0.175,1.0,1.0,7.705,13.39,1.2
daytime,1.1,0.6,5,2,0.59,0.171,1.0,1.0,8.879,15.817,1.2
daytime,1.1,0.6,7,2,0.59,0.171,1.0,1.0,20.495,41.036,1.5
daytime,1.1,0.7,1,2,0.514,0.017,1.0,0.6,400000023.6,21.6,400000023.6
daytime,1.1,0.7,3,2,0.51,0.008,1.0,0.4,599999999.4,0.0,599999999.4
daytime,1.1,0.7,5,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
daytime,1.1,0.7,7,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
daytime,1.1,0.8,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.8,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.8,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.8,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.9,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,1.0,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.1,1,2,0.944,0.911,0.976,0.974,6.867,23.818,0.0
daytime,1.15,0.1,3,2,0.936,0.895,0.976,0.974,8.106,19.342,0.0
daytime,1.15,0.1,5,2,0.934,0.887,0.98,0.978,9.661,22.266,0.0
daytime,1.15,0.1,7,2,0.93,0.879,0.98,0.977,11.867,28.394,0.0
daytime,1.15,0.2,1,2,0.928,0.855,1.0,1.0,7.633,24.196,0.0
daytime,1.15,0.2,3,2,0.916,0.831,1.0,1.0,9.496,23.158,0.1
daytime,1.15,0.2,5,2,0.912,0.823,1.0,1.0,10.135,23.268,0.2
daytime,1.15,0.2,7,2,0.908,0.815,1.0,1.0,11.527,26.308,0.2
daytime,1.15,0.3,1,2,0.89,0.779,1.0,1.0,6.626,19.492,0.0
daytime,1.15,0.3,3,2,0.888,0.775,1.0,1.0,11.289,23.883,0.6
daytime,1.15,0.3,5,2,0.876,0.751,1.0,1.0,10.961,21.06,0.8
daytime,1.15,0.3,7,2,0.872,0.743,1.0,1.0,11.187,20.313,0.8
daytime,1.15,0.4,1,2,0.83,0.657,1.0,1.0,11.444,26.873,0.0
daytime,1.15,0.4,3,2,0.82,0.638,1.0,1.0,16.526,31.771,0.9
daytime,1.15,0.4,5,2,0.808,0.613,1.0,1.0,17.778,32.21,2.1
daytime,1.15,0.4,7,2,0.806,0.609,1.0,1.0,17.532,31.446,1.6
daytime,1.15,0.5,1,2,0.712,0.418,1.0,1.0,15.115,31.989,0.1
daytime,1.15,0.5,3,2,0.7,0.394,1.0,1.0,17.14,31.115,1.4
daytime,1.15,0.5,5,2,0.69,0.374,1.0,1.0,19.177,36.442,1.3
daytime,1.15,0.5,7,2,0.678,0.349,1.0,1.0,16.919,28.487,1.4
daytime,1.15,0.6,1,2,0.598,0.188,1.0,1.0,7.961,15.41,0.0
daytime,1.15,0.6,3,2,0.592,0.175,1.0,1.0,7.938,13.341,1.4
daytime,1.15,0.6,5,2,0.588,0.167,1.0,1.0,9.098,15.875,1.3
daytime,1.15,0.6,7,2,0.586,0.163,1.0,1.0,22.237,42.09,2.8
daytime,1.15,0.7,1,2,0.512,0.013,1.0,0.4,600000021.0,21.6,600000021.0
daytime,1.15,0.7,3,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
daytime,1.15,0.7,5,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
daytime,1.15,0.7,7,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
daytime,1.15,0.8,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.8,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.8,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.8,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.9,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,1.0,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
