alpha,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,daytime,1.0,0.1,3,2,0.95,0.942,0.96,0.958,7.868,18.789,0.0
0.333,daytime,1.0,0.1,5,2,0.94,0.922,0.96,0.958,9.166,21.489,0.6
0.333,daytime,1.0,0.1,7,2,0.932,0.907,0.96,0.957,10.327,25.823,0.6
0.333,daytime,1.0,0.2,3,2,0.94,0.882,1.0,1.0,11.862,25.645,1.3
0.333,daytime,1.0,0.2,5,2,0.928,0.858,1.0,1.0,12.697,26.023,1.4
0.333,daytime,1.0,0.2,7,2,0.916,0.835,1.0,1.0,11.829,26.002,1.2
0.333,daytime,1.0,0.3,3,2,0.892,0.786,1.0,1.0,13.607,30.046,1.7
0.333,daytime,1.0,0.3,5,2,0.874,0.751,1.0,1.0,14.335,28.988,2.1
0.333,daytime,1.0,0.3,7,2,0.858,0.72,1.0,1.0,12.429,24.204,2.7
0.333,daytime,1.0,0.4,3,2,0.812,0.627,1.0,1.0,14.945,25.576,5.1
0.333,daytime,1.0,0.4,5,2,0.802,0.606,1.0,1.0,15.458,26.603,5.2
0.333,daytime,1.0,0.4,7,2,0.788,0.577,1.0,1.0,15.843,26.648,4.9
0.333,daytime,1.0,0.5,3,2,0.674,0.352,1.0,1.0,23.512,41.087,6.4
0.333,daytime,1.0,0.5,5,2,0.668,0.339,1.0,1.0,20.134,34.065,8.0
0.333,daytime,1.0,0.5,7,2,0.66,0.324,1.0,1.0,30.665,59.702,6.6
0.333,daytime,1.0,0.6,3,2,0.57,0.135,1.0,1.0,34.86,32.031,37.8
0.333,daytime,1.0,0.6,5,2,0.568,0.132,1.0,1.0,34.699,32.392,37.4
0.333,daytime,1.0,0.6,7,2,0.568,0.132,1.0,1.0,41.588,46.652,38.2
0.333,daytime,1.0,0.7,3,2,0.524,0.041,1.0,0.8,200000039.067,46.107,200000023.6
0.333,daytime,1.0,0.7,5,2,0.524,0.041,1.0,0.8,200000039.067,46.107,200000023.6
0.333,daytime,1.0,0.7,7,2,0.524,0.041,1.0,0.8,200000041.8,49.973,200000023.6
0.333,daytime,1.0,0.8,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.0,0.8,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.0,0.8,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.0,0.9,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.0,0.9,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.0,0.9,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.0,1.0,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.0,1.0,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.0,1.0,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,0.1,3,2,0.944,0.93,0.96,0.958,7.842,16.682,0.0
0.333,daytime,1.05,0.1,5,2,0.938,0.918,0.96,0.958,9.039,18.73,0.6
0.333,daytime,1.05,0.1,7,2,0.932,0.903,0.964,0.961,10.027,21.531,0.6
0.333,daytime,1.05,0.2,3,2,0.936,0.874,1.0,1.0,12.704,29.517,1.4
0.333,daytime,1.05,0.2,5,2,0.92,0.842,1.0,1.0,14.206,32.407,1.4
0.333,daytime,1.05,0.2,7,2,0.912,0.827,1.0,1.0,12.109,27.389,1.4
0.333,daytime,1.05,0.3,3,2,0.89,0.781,1.0,1.0,14.524,31.732,1.7
0.333,daytime,1.05,0.3,5,2,0.872,0.748,1.0,1.0,14.022,26.602,2.1
0.333,daytime,1.05,0.3,7,2,0.856,0.715,1.0,1.0,13.201,26.152,2.7
0.333,daytime,1.05,0.4,3,2,0.806,0.615,1.0,1.0,15.804,28.022,5.0
0.333,daytime,1.05,0.4,5,2,0.796,0.594,1.0,1.0,15.98,27.454,5.9
0.333,daytime,1.05,0.4,7,2,0.788,0.577,1.0,1.0,17.364,30.346,5.7
0.333,daytime,1.05,0.5,3,2,0.668,0.339,1.0,1.0,20.787,36.334,6.1
0.333,daytime,1.05,0.5,5,2,0.662,0.327,1.0,1.0,19.504,33.393,8.2
0.333,daytime,1.05,0.5,7,2,0.658,0.319,1.0,1.0,30.7,59.941,6.7
0.333,daytime,1.05,0.6,3,2,0.57,0.135,1.0,1.0,41.221,45.246,38.4
0.333,daytime,1.05,0.6,5,2,0.566,0.127,1.0,1.0,42.595,47.937,37.2
0.333,daytime,1.05,0.6,7,2,0.564,0.123,1.0,1.0,50.493,61.632,37.7
0.333,daytime,1.05,0.7,3,2,0.524,0.041,1.0,0.8,200000039.067,46.107,200000023.6
0.333,daytime,1.05,0.7,5,2,0.524,0.041,1.0,0.8,200000041.867,50.067,200000023.6
0.333,daytime,1.05,0.7,7,2,0.524,0.041,1.0,0.8,200000041.867,50.067,200000023.6
0.333,daytime,1.05,0.8,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,0.8,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,0.8,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,0.9,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,0.9,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,0.9,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,1.0,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,1.0,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
